标题,封面链接,详情页链接,作者,简介,字数,价格
小巷人家,https://pic.arkread.com/cover/ebook/f/484519474.1731394867.jpg!cover_default.jpg,https://read.douban.com/ebook/484519474/,大米,20世纪70年代末，苏州棉纺厂家属区一条小巷里住着庄家、林家、吴家三个家庭，恢复高考、知青返城和改革开放等时代变迁让三家家长和孩子们的命运都发生了翻天覆地的变化。  长辈们先后随时代变迁，或调动或留职停薪，各寻出路。  晚辈们随时代变迁而拼搏。  庄家长子庄图南考入同济建筑系，但国家统包统分，他无法决定自己的毕业去向，同时，他的暗恋对象李佳为了留沪，放弃了两人间的感情萌芽。数年后，两人在浦东新区的工地上重逢......  次女庄筱婷考入上海交通大学，毕业后和男友林栋哲两地分居，两人瞒着家人偷偷领了结婚证......  外甥儿向鹏飞是知青子女，他孤身一人回苏州上学，但高考落榜......  社会青年李一鸣和宋向阳在两次落榜后，分别成为了个体工商户和乡镇企业技术员......  邻居吴家的长女吴姗姗受家庭环境拖累，变得争强好胜......  吴家继女张敏就读纺织职高，毕业时恰逢棉纺厂人员精简，不再招收职高或技校文凭的职工子弟......  一方小院，袅袅炊烟，几家人、两代人的故事。  作者：大米。,306825字,20.99元
你吃饭没有,https://pic.arkread.com/cover/ebook/f/482639326.1729587949.jpg!cover_default.jpg,https://read.douban.com/ebook/482639326/,车厘崽,慎怡和纪则明在一起三年了。他比她年长三岁，算不上大，更谈不上老。但也许是因为三年差不多是人生小阶段的跨度，所以谈起恋爱来总是觉得有代沟。她渴望短暂的新鲜感永存，纪则明却总是循规蹈矩地走着每一步。好友都奇怪，他们不同的性格却能坚持这么久。    “和他在一起不会觉得烦吗？”  “会，经常会。”  “但是……”,287732字,9.9元
素食者,https://pic.arkread.com/cover/ebook/f/329359767.1653693773.jpg!cover_default.jpg,https://read.douban.com/ebook/329359767/,"[韩] 韩江, 译者: 胡椒筒",为了逃避来自丈夫、家庭、社会和人群的暴力，她决定变成一棵树  在英惠的丈夫郑先生的眼中，“病”前的英惠，是个再普通不过的女子：不高不矮的个头、不长不短的头发，相貌平平，着装一般，温顺、平淡、文静。正如他所希望的那样，英惠完美地扮演了平凡妻子的角色——料理家务，伺候丈夫，就像千千万万的传统妇女一样。  然而，一场噩梦之后，妻子却突然开始拒绝吃肉，拒绝为家人准备荤菜，甚至到最后，她开始拒绝自己的“人类”身份，把自己当成了一株植物，一株只需要阳光和水，谢绝任何食物和交流的植物。而随着她被动的反叛以越来越极端和可怕的形式表现出来，丑闻、虐待和疏远开始让她螺旋进入她的幻想空间。在精神和身体的完全蜕变中，她现在危险的努力将使英惠——不可能的、狂喜的、悲剧性的——远离她曾经为人所知的自我。    韩江：1970年生，毕业于延世大学国文系，现任韩国艺术大学文艺创作系教授，当代韩国文坛最具国际影响力的作家之一。她曾先后荣获《首尔新闻报》年度春季文学奖，韩国小说文学奖，今日青年艺术家奖，东里文学奖、李箱文学奖、万海文学奖等。其作品从更为根源的层面上回望生活的悲苦和创伤，笔墨执著地袒护伤痕，充满探索的力量。  2016年5月16号，布克国际文学奖在伦敦揭晓。韩江凭借小说《素食者》击败诺贝尔文学奖得主奥尔罕·帕慕克新作《我脑袋里的怪东西》，诺贝尔文学奖得主大江健三郎晚年代表作《水死》，以及阎连科职业生涯最满意作品《四书》，畅销书“那不勒斯四部曲”终曲《失踪的孩子》等154本名作最终成为该奖项历史上第一位也是迄今为止唯一一位亚洲作家。2017年，她获得了有“意大利诺贝尔文学奖”之称的马拉帕蒂文学奖。2018年，她凭借作品《白》再次入围布克国际文学奖短名单，并且创纪录的在同一年凭借《少年来了》入围国际都柏林文学奖短名单。2019年美国权威杂志《连线》将《素食者》选入10年来10本最佳类型小说之列，同时入选的还有诺贝尔文学奖得主石黑一雄的《被掩埋的巨人》和刘慈欣的《三体》。  韩国国立中央图书馆于2017年1月至2020年4月针对全国845个图书馆的借阅数据进行了分析。结果显示，韩江的《素食者》超过《82年的金智英》等话题图书，借阅率仅次于《解忧杂货铺》。,75973字,48.0元
三尺春,https://pic.arkread.com/cover/ebook/f/482515584.1729489216.jpg!cover_default.jpg,https://read.douban.com/ebook/482515584/,长青长白,七岁那年，李姝菀从乡野被抱回将军府，成了李奉渊名义上的亲妹。她自知卑小，在他面前处处谨小慎微，可李奉渊并不待见她这名义上私生的野种。但无论亲疏，空寂的将军府里，兄妹两都是彼此唯一的依靠。后来西北起祸，十七岁的李奉渊着甲持枪，抛下李姝菀头也不回地上了战场。他留给她的，只有一座空荡荡的将军府。    五年后，西北稳固，已封侯拜将的李奉渊返京。贺宴上，阔别多年的兄妹相见，李姝菀却好似已经不认得他。四目相对，她蹙眉伏在太子耳边道：“太子哥哥，那人瞪我。”  当夜，李奉渊入她闺房，一身寒气立于床侧，低声告诉她：“这世上，没有人会比我待你更好。其实我与你并非亲人，而且从小定了娃娃亲，你要别人、还是要我？”,368660字,8.99元
白天&黑夜,https://pic.arkread.com/cover/ebook/f/1249612.1730105775.jpg!cover_default.jpg,https://read.douban.com/ebook/1249612/,陈之遥,24岁的奕，简单、自由、独立，从法学院毕业，通过纽约州的律师资格考试，在曼哈顿一家律师事务所找到第一份工作。同年夏末，她和34岁的富家子莱尔•奥尔顿在一个酒会上邂逅相识。两个不同母语，不同国籍，不同年龄，不同阶层，不同经历的人，从游戏到认真，相爱却不相知。他们因为奕的意外怀孕而结婚，很快又因为生活中的种种冲突而分手。离婚之后，两人在抚育女儿的过程中逐渐磨合，相互了解，开始尝试为共同生活而改变。  正如书里的结束语说得那样：我不知道我们会走到哪里，也不确定自己想要的究竟是什么。可能我们还是不合适，可能这段新的关系一样会结束。到那个时候，我们之间或许就真的了结了。就是这样的，是一种深深的无奈。  陈之遥，GIB，girl in black的首字缩写。1980年9月生于上海，法律专业，现居美国，从事金融风险控制。2008年10月，在黑色T61电脑上写下人生中第一个既非作业又无关工作的句子：“事情的本质从来不是它看上去的那个样子。”所有的故事都从那个时刻开始。,149654字,8.04元
鼠疫,https://pic.arkread.com/cover/ebook/f/2429996.1718348260.jpg!cover_default.jpg,https://read.douban.com/ebook/2429996/,"[法] 阿尔贝·加缪, 译者: 刘方",《加缪作品：鼠疫》是加缪最重要的代表作之一，通过描写北非一个叫奥兰的城市在突发鼠疫后，以主人公里厄医生为代表的一大批人面对瘟疫奋力抗争的故事，淋漓尽致地表现出那些敢于直面惨淡的人生、拥有“知其不可而为之”的大无畏精神的真正勇者在荒诞中奋起反抗，在绝望中坚持真理和正义的伟大的自由人道主义精神。  加缪在他的小说、戏剧、随笔和论著中深刻地揭示出人在异己的世界中的孤独、个人与自身的日益异化，以及罪恶和死亡的不可避免，但他在揭示出世界的荒诞的同时却并不绝望和颓丧，他主张要在荒诞中奋起反抗，在绝望中坚持真理和正义，他为世人指出了一条基督教和马克思主义以外的自由人道主义道路。他直面惨淡人生的勇气，他“知其不可而为之”的大无畏精神使他在第二次世界大战之后不仅在法国，而且在欧洲并最终在全世界成为他那一代人的代言人和下一代人的精神导师。  阿尔贝·加缪（1913—1960）是法国声名卓著的小说家、散文家和剧作家，“存在主义”文学的大师。1957年因“热情而冷静地阐明了当代向人类良知提出的种种问题”而获诺贝尔文学奖，是有史以来最年轻的诺奖获奖作家之一。,148955字,0.99元
福尔摩斯探案集,https://pic.arkread.com/cover/ebook/f/10778106.1653708708.jpg!cover_default.jpg,https://read.douban.com/ebook/10778106/,"[英] 柯南·道尔, 译者: 隗静秋",百年侦探经典，全面呈现福尔摩斯式智慧。  不容错过的文学名著，不得不看的福尔摩斯。  他的侦探社位于英国伦敦贝克街221号；  他在全球拥有数以十亿的粉丝；  他是维多利亚女王、罗斯福、戴高乐、丘吉尔、博尔赫斯、村上春树等崇拜的偶像；  他是史上唯一被英国皇室授予爵士的虚拟人物：  他的故事被翻译成了57种文字——他就是鼎鼎大名的福尔摩斯。  《福尔摩斯探案集（套装全8册礼盒装）》塑造了福尔摩斯这一栩栩如生，深得人心的形象，是作品艺术上的一大成功。而它最突出的艺术特色却是：情节的离奇曲折，惊险引人；结构的巧妙安排，丝丝入扣而悬念丛生；前后呼应而跌宕起伏，使人读起来欲罢不能，结局出人意料又耐人寻味。“情节是侦探小说的精华。”柯南道尔的情节结构，对初写作者无疑个有极好的借鉴作用。    柯南·道尔（ Arthur Ignatius Conan Doyle，1859年5月22日—1930年7月7日），英国杰出的侦探小说家、剧作家。柯南·道尔1859年出生，1886年4月写成福尔摩斯的第一个侦探故事《血字的研究》，此后一发不可收拾，创作了大量侦探故事，一共写了60个关于福尔摩斯的故事，56个短篇和4个中篇小说，也因为塑造了夏洛克·福尔摩斯这个全球最著名的侦探而留名。除此之外他还曾写过多部其他类型的小说，如科幻、历史小说、爱情小说、戏剧、诗歌等。柯南·道尔在1930年7月7日去世。,1164460字,2.98元
恶女的告白,https://pic.arkread.com/cover/ebook/f/482073423.1729063021.jpg!cover_default.jpg,https://read.douban.com/ebook/482073423/,"[日] 叶真中显, 译者: 吴曦",七年前文学编辑梨帆收到了一篇叫做《养狗》的投稿，小说充斥着残暴的施虐倾向和对男性的嫌恶。作品被评为“重口味、贬低男性”而没有出版，作者也从此销声匿迹。  七年后，梨帆收到了当年那位神秘作家的第二篇投稿，故事从两位学生时代的老友重逢开始立场不同的两人在对话产生了分歧，杀意越来越强烈。    叶真中显，1976年生于日本东京。2012年，凭借《死亡护理师》一书摘得第16届日本推理文学大奖新人奖。2014年出版的《绝叫》登上《周刊文春推理BEST 10 2014年版》《这本推理小说了不起！2015年版》等杂志榜单，并入围吉川英治文学新人奖与日本推理作家协会奖。  2022年3月，叶真中显在时隔多年后再度回归女性题材，以“性别歧视”“性暴力”为主题，创作出反应女性生存困境的《恶女的告白》，引起日本社会极大反响。  译者：吴曦，日本图书、漫画翻译，活跃于推理小说翻译与游戏本地化行业。代表译作有村田沙耶香《人间便利店》、森见登美彦《太阳与少女》、连城三纪彦《鼠之夜》、松本清张《黑地之绘》，以及漫画《蓦然回首》等。,125628字,22.0元
悉达多,https://pic.arkread.com/cover/ebook/f/8671329.1653712267.jpg!cover_default.jpg,https://read.douban.com/ebook/8671329/,"[德] 赫尔曼·黑塞, 译者: 张佩芬",本书收入黑塞著名的中篇小说三则，即《悉达多》、《盖特露德》和《克诺尔普》。  《盖特露德》通过两个极具才华的音乐家和一位年轻美貌女子间的一场三角恋故事，暗示出小说主题：男主人公情场失意，却促使了他艺术的创造。《克努尔普》被黑塞称为“我最喜爱的小说”，它展示了上世纪德国一小镇的风俗图景，斯•茨威格赞这部充满感伤之情的作品说：“书里有一个德意志国家，是从来还没有人认识到的，就连我们自己也不例外。”主打篇《悉达多》叙述一个婆罗门贵族青年寻求人生真谛的一生，他从锦衣玉食到游方为僧，又从骄奢淫逸到摆渡济事，最终悟道成佛。小说被誉为黑塞思想和其文学作品的精华，是具有世界性影响的成功之作。  本书收入黑塞著名的中篇小说三则，即《悉达多》、《盖特露德》和《克诺尔普》。由著名德语翻译家张佩芬从德语原文直接翻译而来。  赫尔曼·黑塞（Hermann Hesse，1877－1962），德国作家、诗人、评论家，20世纪最伟大的文学家之一。以《德米安：埃米尔·辛克莱的彷徨少年时》、《荒原狼》、《悉达多》、《玻璃球游戏》等作品享誉世界文坛。1923年46岁入瑞士籍。1946年获诺贝尔文学奖。自上世纪60年代起，黑塞就成为美国大众的最爱，他出现在《史努比》系列漫画中，纽约的女大学生说“黑塞是今天美国需要的反物质主义的发酵酶”，他的“Do your own thing”也成为美国整整几代青年人的座右铭；在日本，黑塞是除了歌德之外最著名的德国作家；迄今为止，在日本和美国，黑塞是20世纪被阅读最多的德语作家。黑塞崇拜还蔓延至全球，他的作品被翻译成40多种语言，总印数超过1.4亿册。,233195字,3.99元
活着,https://pic.arkread.com/cover/ebook/f/30541512.1653661839.jpg!cover_default.jpg,https://read.douban.com/ebook/30541512/,余华,《活着》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵前去求药，却在途中被国民党抓去当壮丁。经过几番波折回到家里，才知道母亲早已去世，妻子家珍含辛茹苦地养大两个儿女。此后更加悲惨的命运一次又一次降临到福贵身上，他的妻子、儿女和孙子相继死去，最后只剩福贵和一头老牛相依为命，但老人依旧活着，仿佛比往日更加洒脱与坚强。  《活着》荣获意大利格林扎纳•卡佛文学奖最高奖项（1998年）、台湾《中国时报》10本好书奖（1994年）、香港“博益”15本好书奖（1994年）、第三届世界华文“冰心文学奖”（2002年），入选香港《亚洲周刊》评选的“20世纪中文小说百年百强”、中国百位批评家和文学编辑评选的“20世纪90年代最有影响的10部作品”。    余华，1960年出生，1983年开始写作。至今已经出版长篇小说4部，中短篇小说集6部，随笔集4部。主要作品有《兄弟》《活着》《许三观卖血记》《在细雨中呼喊》等。其作品已被翻译成20多种语言在美国、英国、法国、德国、意大利、西班牙、荷兰、瑞典、挪威、希腊、俄罗斯、保加利亚、匈牙利、捷克、塞尔维亚、斯洛伐克、波兰、巴西、以色列、日本、韩国、越南、泰国和印度等国出版。曾获意大利格林扎纳·卡佛文学奖（1998年）、法国文学和艺术骑士勋章（2004年）、中华图书特殊贡献奖（2005年）、法国国际信使外国小说奖（2008年）等。,93476字,29.99元
