菜名,最低价,平均价,最高价,规格,单位,发布日期

大白菜,0.35,0.4,0.45,,斤,2024-11-09 00:00:00

娃娃菜,0.6,0.75,0.9,,斤,2024-11-09 00:00:00

小白菜,0.8,0.85,0.9,,斤,2024-11-09 00:00:00

圆白菜,0.55,0.68,0.8,甘蓝,斤,2024-11-09 00:00:00

紫甘蓝,1.4,1.45,1.5,,斤,2024-11-09 00:00:00

芹菜,1.0,1.2,1.4,,斤,2024-11-09 00:00:00

西芹,3.5,3.75,4.0,,斤,2024-11-09 00:00:00

菠菜,0.8,1.0,1.2,,斤,2024-11-09 00:00:00

莴笋,1.3,1.95,2.6,,斤,2024-11-09 00:00:00

团生菜,1.0,1.25,1.5,,斤,2024-11-09 00:00:00

罗马生菜,1.5,2.0,2.5,,斤,2024-11-09 00:00:00

散叶生菜,1.2,1.35,1.5,,斤,2024-11-09 00:00:00

油菜,0.6,0.8,1.0,,斤,2024-11-09 00:00:00

香菜,1.5,1.65,1.8,,斤,2024-11-09 00:00:00

茴香,1.8,1.9,2.0,,斤,2024-11-09 00:00:00

韭菜,2.5,2.75,3.0,,斤,2024-11-09 00:00:00

苦菊,1.3,1.65,2.0,,斤,2024-11-09 00:00:00

油麦菜,1.5,1.85,2.2,,斤,2024-11-09 00:00:00

散菜花,1.2,1.9,2.6,,斤,2024-11-09 00:00:00

绿菜花,2.0,2.25,2.5,,斤,2024-11-09 00:00:00

绿豆芽,0.95,0.98,1.0,,斤,2024-11-09 00:00:00

黄豆芽,0.85,0.88,0.9,,斤,2024-11-09 00:00:00

番茄,2.0,2.5,3.0,黑框,斤,2024-11-09 00:00:00

番茄,3.3,3.65,4.0,纸箱\泡沫箱,斤,2024-11-09 00:00:00

番茄,3.6,3.9,4.2,白框,斤,2024-11-09 00:00:00

黄瓜,1.0,1.25,1.5,袋\箱,斤,2024-11-09 00:00:00

黄瓜,1.4,1.95,2.5,干花\鲜花,斤,2024-11-09 00:00:00

小黄瓜,2.6,2.65,2.7,旱,斤,2024-11-09 00:00:00

小黄瓜,2.8,2.9,3.0,荷兰,斤,2024-11-09 00:00:00

茄子,1.2,1.65,2.1,圆茄,斤,2024-11-09 00:00:00

长茄,1.2,1.35,1.5,,斤,2024-11-09 00:00:00

线茄,1.5,2.25,3.0,,斤,2024-11-09 00:00:00

广茄,2.0,2.4,2.8,,斤,2024-11-09 00:00:00

冬瓜,1.2,1.3,1.4,吊,斤,2024-11-09 00:00:00

冬瓜,0.9,0.95,1.0,地,斤,2024-11-09 00:00:00

毛冬瓜,1.5,1.75,2.0,长\小,斤,2024-11-09 00:00:00

架豆,3.5,3.85,4.2,,斤,2024-11-09 00:00:00

豆王,2.5,3.55,4.6,,斤,2024-11-09 00:00:00

扁豆,2.0,3.1,4.2,,斤,2024-11-09 00:00:00

豇豆,3.0,3.6,4.2,,斤,2024-11-09 00:00:00

白豆,3.0,3.5,4.0,,斤,2024-11-09 00:00:00

油豆,4.0,4.25,4.5,,斤,2024-11-09 00:00:00

毛豆,3.0,3.65,4.3,,斤,2024-11-09 00:00:00

花生,3.0,3.75,4.5,泥\洗,斤,2024-11-09 00:00:00

玉米,1.6,1.7,1.8,黄,斤,2024-11-09 00:00:00

玉米,1.8,1.9,2.0,白\花,斤,2024-11-09 00:00:00

苦瓜,2.0,2.5,3.0,,斤,2024-11-09 00:00:00

丝瓜,2.0,2.75,3.5,,斤,2024-11-09 00:00:00

西葫芦,1.0,1.4,1.8,袋\箱,斤,2024-11-09 00:00:00

贝贝南瓜,1.6,1.8,2.0,,斤,2024-11-09 00:00:00

金丝南瓜,1.7,2.6,3.5,,斤,2024-11-09 00:00:00

板栗南瓜,2.0,2.1,2.2,,斤,2024-11-09 00:00:00

南北瓜,1.4,1.55,1.7,,斤,2024-11-09 00:00:00

尖椒,2.5,3.35,4.2,袋\箱,斤,2024-11-09 00:00:00

红尖椒,10.0,10.5,11.0,,斤,2024-11-09 00:00:00

美人椒,6.0,6.5,7.0,,斤,2024-11-09 00:00:00

螺丝椒,3.0,3.75,4.5,,斤,2024-11-09 00:00:00

