排名,书名,简介,作者,评分,评分人数,链接
1,红楼梦,都云作者痴，谁解其中味？,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.6,434487人评价,https://book.douban.com/subject/1007305/
2,活着,生的苦难与伟大,余华 / 作家出版社 / 2012-8 / 28.00元,9.4,858079人评价,https://book.douban.com/subject/4913064/
3,1984,栗树荫下，我出卖你，你出卖我,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.4,292924人评价,https://book.douban.com/subject/4820710/
4,哈利·波特,从9¾站台开始的旅程,J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元,9.7,115069人评价,https://book.douban.com/subject/24531956/
5,三体全集,地球往事三部曲,刘慈欣 / 重庆出版社 / 2012-1 / 168.00元,9.5,196327人评价,https://book.douban.com/subject/6518605/
6,百年孤独,魔幻现实主义文学代表作,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.3,437770人评价,https://book.douban.com/subject/6082808/
7,飘,革命时期的爱情，随风而逝,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,216763人评价,https://book.douban.com/subject/1068920/
8,三国演义（全二册）,是非成败转头空,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.3,172572人评价,https://book.douban.com/subject/1019568/
9,动物农场,太阳底下并无新事,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.3,165864人评价,https://book.douban.com/subject/2035179/
10,房思琪的初恋乐园,向死而生的文学绝唱,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,9.2,391819人评价,https://book.douban.com/subject/27614904/
11,福尔摩斯探案全集（上中下）,名侦探的代名词,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.3,136693人评价,https://book.douban.com/subject/1040211/
12,白夜行,一宗离奇命案牵出跨度近20年步步惊心的故事,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.2,490627人评价,https://book.douban.com/subject/10554308/
13,小王子,献给长成了大人的孩子们,[法] 圣埃克苏佩里 / 马振骋 / 人民文学出版社 / 2003-8 / 22.00元,9.1,768320人评价,https://book.douban.com/subject/1084336/
14,天龙八部,有情皆孽，无人不冤,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,9.2,135220人评价,https://book.douban.com/subject/1255625/
15,安徒生童话故事集,为了争取未来的一代,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.2,136087人评价,https://book.douban.com/subject/1046209/
16,撒哈拉的故事,游荡的自由灵魂,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,181495人评价,https://book.douban.com/subject/1060068/
17,呐喊,新文学的第一声呐喊,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,9.2,165341人评价,https://book.douban.com/subject/1449351/
18,邓小平时代,个人命运背后的历史变局,【美】傅高义 (Ezra.F.Vogel) / 冯克利 / 生活·读书·新知三联书店 / 2013-1-18 / 88.00元,9.3,75477人评价,https://book.douban.com/subject/20424526/
19,杀死一只知更鸟,有一种东西不能遵循从众原则，那就是——人的良心,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,151623人评价,https://book.douban.com/subject/6781808/
20,明朝那些事儿（1-9）,不拘一格的历史书写,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.2,182875人评价,https://book.douban.com/subject/3674537/
21,悉达多,无简介,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,9.2,128506人评价,https://book.douban.com/subject/26980487/
22,失踪的孩子,我的整个生命，只是一场为了提升社会地位的低俗斗争。,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,9.2,87063人评价,https://book.douban.com/subject/30172069/
23,新名字的故事,探索青年时代的激情、困惑、挣扎、背叛和失去,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.2,97760人评价,https://book.douban.com/subject/26986954/
24,野草,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,鲁迅 / 人民文学出版社 / 1973-3 / 0.20元,9.5,49727人评价,https://book.douban.com/subject/1915958/
25,中国历代政治得失,一部简明的“中国政治制度史”,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,76061人评价,https://book.douban.com/subject/1003479/
26,沉默的大多数,沉默是沉默者的通行证,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,154689人评价,https://book.douban.com/subject/1054685/
27,卡拉马佐夫兄弟,无简介,陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 / 上海译文出版社 / 2015-2-1 / CNY 78.00,9.6,38953人评价,https://book.douban.com/subject/25887924/
28,局外人,人生在世，永远也不该演戏作假,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.1,248972人评价,https://book.douban.com/subject/4908885/
29,白鹿原,一轴关于我们民族灵魂的现实主义画卷,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,9.2,113415人评价,https://book.douban.com/subject/10564071/
30,人类简史,跟着人类一同走过十万年,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,9.1,204231人评价,https://book.douban.com/subject/25985021/
31,平凡的世界（全三部）,中国当代城乡生活全景,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,329221人评价,https://book.douban.com/subject/1200840/
32,罗杰疑案,无简介,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,9.2,80985人评价,https://book.douban.com/subject/21371175/
33,围城,幽默的语言和对生活深刻的观察,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,9.0,451686人评价,https://book.douban.com/subject/1008145/
34,许三观卖血记,无简介,余华 / 作家出版社 / 2012-9 / 24.00元,9.2,175549人评价,https://book.douban.com/subject/4760224/
35,我与地坛,这是你的罪孽与福祉,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9.2,115264人评价,https://book.douban.com/subject/1209899/
36,乡土中国,中国乡土社会传统文化和社会结构理论研究代表作,费孝通 / 上海人民出版社 / 2006-04-01 / 38.00,9.2,95517人评价,https://book.douban.com/subject/1795079/
37,彷徨,路漫漫其修远兮，吾将上下而求索,鲁迅 / 人民文学出版社 / 1973-3 / 0.37元,9.3,68186人评价,https://book.douban.com/subject/1449348/
38,笑傲江湖（全四册）,欲练此功，必先自宫,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.1,113749人评价,https://book.douban.com/subject/1002299/
39,献给阿尔吉侬的花束,当声称能改造智能的科学实验选中心智障碍主角,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,9.1,117537人评价,https://book.douban.com/subject/26362836/
40,东方快车谋杀案,谋杀诡计惊人，波洛的抉择耐人寻味,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.1,143394人评价,https://book.douban.com/subject/1827374/
41,肖申克的救赎,豆瓣电影Top1原著,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,124026人评价,https://book.douban.com/subject/1829226/
42,基督山伯爵,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,[法国] 大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.1,131708人评价,https://book.douban.com/subject/1085860/
43,江城,外国人眼中的涪陵,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.1,65728人评价,https://book.douban.com/subject/7060185/
44,城南旧事,长亭外，古道边，芳草碧连天,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,9.1,161735人评价,https://book.douban.com/subject/1254588/
45,霍乱时期的爱情,义无反顾地直达爱情的核心,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,293445人评价,https://book.douban.com/subject/10594787/
46,故事新编,拾取古代传说，取一点因由，随意点染,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,9.4,45742人评价,https://book.douban.com/subject/2046909/
47,朝花夕拾,在纷扰中寻出一点闲静,鲁迅 / 人民文学出版社 / 1973-4 / 0.25元,9.1,159945人评价,https://book.douban.com/subject/1449352/
48,万历十五年,见微知著，历史观的颠覆,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,9.0,206681人评价,https://book.douban.com/subject/1041482/
49,艺术的故事,从最早的洞窟绘画到当今的实验艺术,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,9.6,27235人评价,https://book.douban.com/subject/3162991/
50,射雕英雄传,侠之大者，为国为民,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,9.1,87552人评价,https://book.douban.com/subject/1044547/
51,月亮和六便士,有多少人会经历顿悟，就有更少的人甘愿自我放逐,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,8.9,214533人评价,https://book.douban.com/subject/1858513/
52,秋园,无简介,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,9.0,121552人评价,https://book.douban.com/subject/34998019/
53,置身事内,无简介,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,9.1,88092人评价,https://book.douban.com/subject/35546622/
54,追风筝的人,为你，千千万万遍,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9,804480人评价,https://book.douban.com/subject/1770782/
55,寻路中国,《纽约客》驻北京记者驾车漫游中国大陆的经历,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,58728人评价,https://book.douban.com/subject/5414391/
56,树上的男爵,是不是真的只有先与人疏离，才能最终与他们在一起？,[意大利]伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,9.1,63795人评价,https://book.douban.com/subject/6789605/
57,厌女,无简介,上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00,9.1,86675人评价,https://book.douban.com/subject/25836270/
58,无人生还,童谣杀人案,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,9.0,155250人评价,https://book.douban.com/subject/3006581/
59,刀锋,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0,95122人评价,https://book.douban.com/subject/2035162/
60,中国少年儿童百科全书（全四册）,无简介,林崇德 主编 / 浙江教育出版社 / 1991-4 / 168.00元,9.4,19498人评价,https://book.douban.com/subject/1028409/
61,格林童话全集,一本有教育意义的书,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,9.0,97315人评价,https://book.douban.com/subject/1043008/
62,西游记（全二册）,神魔皆有人情，精魅亦通世故,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,9.1,93049人评价,https://book.douban.com/subject/1029553/
63,嫌疑人X的献身,数学好是一种极致的浪漫,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,532680人评价,https://book.douban.com/subject/3211779/
64,黄金时代,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,王小波 / 花城出版社 / 1999-3 / 19.00元,8.9,169502人评价,https://book.douban.com/subject/1089243/
65,史记（全十册）,史家之绝唱，无韵之离骚,司马迁 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,9.6,25677人评价,https://book.douban.com/subject/1077847/
