书名,作者,出版社,出版时间,字数,价格,评分,评分人数
鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013-08,148955字,0.99元,9.1,84194 评价
小巷人家,大米,未知,未知,306825字,20.99元,未知,未知
白天&黑夜,陈之遥,未知,未知,149654字,8.04元,未知,未知
你吃饭没有,车厘崽,未知,未知,287732字,9.9元,未知,未知
素食者,[韩] 韩江,四川文艺出版社,2021-09,75973字,48.0元,8.1,88667 评价
红楼梦（套装全2册）,"曹雪芹 著, 无名氏 续",未知,未知,1085589字,22.99元,未知,未知
哈利·波特完整系列 （全七册）,[英] J. K. 罗琳 ,未知,未知,2068713字,149.98元,未知,未知
恶女的告白,[日] 叶真中显,中国友谊出版公司,2024-08,125628字,55.0元,8.2,5564 评价
故事：材质、结构、风格和银幕剧作的原理,[美] 罗伯特·麦基,天津人民出版社,2014-09,277130字,14.99元,9.2,20269 评价
活着,余华,未知,未知,93476字,29.99元,未知,未知
卡拉马佐夫兄弟（全2册）,[俄] 陀思妥耶夫斯基,上海译文出版社,2015-02,684971字,29.99元,9.6,39025 评价
福尔摩斯探案集,[英] 柯南·道尔,北京联合出版公司,2015-03,1164460字,2.98元,9.5,462 评价
三尺春,长青长白,未知,未知,368660字,8.99元,未知,未知
我的天才女友,[意] 埃莱娜·费兰特（Elena Ferrante）,人民文学出版社,2017-01,188595字,20.99元,8.7,121833 评价
悉达多,[德] 赫尔曼·黑塞,上海译文出版社,2013-08,233195字,3.99元,9.1,2695 评价
克莱因壶,[日] 冈岛二人,化学工业出版社,2019-09,124360字,9.98元,8.9,73785 评价
保重,大冰,未知,未知,218300字,39.8元,未知,未知
献给阿尔吉侬的花束（新版）,[美] 丹尼尔·凯斯,河南文艺出版社,2022-08,141850字,33.6元,9.1,26589 评价
失踪的孩子,[意] 埃莱娜·费兰特,人民文学出版社,2018-06,275908字,21.99元,9.2,87146 评价
白夜追凶（潘粤明、王龙正主演影视同名小说，首次收录番外《钻石》）,"指纹 著, 谢十三 改编",未知,未知,438927字,29.99元,未知,未知
漫游在雨中池塘,[美] 乔治·桑德斯,浙江文艺出版社,2024-10,270499字,28.99元,9.1,95 评价
太白金星有点烦,马伯庸,未知,未知,130457字,26.9元,未知,未知
平原上的摩西,双雪涛,未知,未知,134826字,41.3元,未知,未知
孽子,白先勇,未知,未知,209049字,16.99元,未知,未知
洛丽塔,[美] 弗拉基米尔·纳博科夫,上海译文出版社,2005-12,264532字,8.99元,7.8,76936 评价
鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013-08,148955字,0.99元,9.1,84194 评价
小巷人家,大米,None,None,306825字,20.99元,None,None
白天&黑夜,陈之遥,None,None,149654字,8.04元,None,None
你吃饭没有,车厘崽,None,None,287732字,9.9元,None,None
素食者,[韩] 韩江,四川文艺出版社,2021-09,75973字,48.0元,8.1,88667 评价
红楼梦（套装全2册）,"曹雪芹 著, 无名氏 续",None,None,1085589字,22.99元,None,None
哈利·波特完整系列 （全七册）,[英] J. K. 罗琳 ,None,None,2068713字,149.98元,None,None
恶女的告白,[日] 叶真中显,中国友谊出版公司,2024-08,125628字,55.0元,8.2,5564 评价
鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013-08,148955字,0.99元,9.1,84194 评价
小巷人家,大米,,,306825字,20.99元,,
白天&黑夜,陈之遥,,,149654字,8.04元,8.3,1064 评价
你吃饭没有,车厘崽,,,287732字,9.9元,,
素食者,[韩] 韩江,四川文艺出版社,2021-09,75973字,48.0元,8.1,88667 评价
红楼梦（套装全2册）,"曹雪芹 著, 无名氏 续",,,1085589字,22.99元,,
哈利·波特完整系列 （全七册）,[英] J. K. 罗琳 ,,,2068713字,149.98元,9.6,463 评价
恶女的告白,[日] 叶真中显,中国友谊出版公司,2024-08,125628字,55.0元,8.2,5564 评价
故事：材质、结构、风格和银幕剧作的原理,[美] 罗伯特·麦基,天津人民出版社,2014-09,277130字,14.99元,9.2,20269 评价
活着,余华,,,93476字,29.99元,9.4,858464 评价
卡拉马佐夫兄弟（全2册）,[俄] 陀思妥耶夫斯基,上海译文出版社,2015-02,684971字,29.99元,9.6,39025 评价
福尔摩斯探案集,[英] 柯南·道尔,北京联合出版公司,2015-03,1164460字,2.98元,9.5,462 评价
三尺春,长青长白,,,368660字,8.99元,,
我的天才女友,[意] 埃莱娜·费兰特（Elena Ferrante）,人民文学出版社,2017-01,188595字,20.99元,8.7,121833 评价
悉达多,[德] 赫尔曼·黑塞,上海译文出版社,2013-08,233195字,3.99元,9.1,2695 评价
克莱因壶,[日] 冈岛二人,化学工业出版社,2019-09,124360字,9.98元,8.9,73785 评价
保重,大冰,,,218300字,39.8元,6.7,1163 评价
献给阿尔吉侬的花束（新版）,[美] 丹尼尔·凯斯,河南文艺出版社,2022-08,141850字,33.6元,9.1,26589 评价
失踪的孩子,[意] 埃莱娜·费兰特,人民文学出版社,2018-06,275908字,21.99元,9.2,87146 评价
白夜追凶（潘粤明、王龙正主演影视同名小说，首次收录番外《钻石》）,"指纹 著, 谢十三 改编",,,438927字,29.99元,,0 评价
漫游在雨中池塘,[美] 乔治·桑德斯,浙江文艺出版社,2024-10,270499字,28.99元,9.1,95 评价
太白金星有点烦,马伯庸,,,130457字,26.9元,9.0,110323 评价
平原上的摩西,双雪涛,,,134826字,41.3元,8.2,23887 评价
孽子,白先勇,,,209049字,16.99元,9.1,50665 评价
洛丽塔,[美] 弗拉基米尔·纳博科夫,上海译文出版社,2005-12,264532字,8.99元,7.8,76936 评价
《黑暗的左手》三部曲,厄休拉·勒古恩,,,485164字,18.0元,,
长安的荔枝,马伯庸,,,90380字,26.99元,8.5,212529 评价
刀锋,[英] 威廉·萨默塞特·毛姆,上海译文出版社,2014-06,220729字,0.99元,8.7,6011 评价
悉达多,[德] 赫尔曼·黑塞,天津人民出版社,2017-01,55713字,32.0元,9.2,128844 评价
你的夏天还好吗？,[韩] 金爱烂,人民文学出版社,2017-01,111148字,15.66元,8.7,29161 评价
雪国,[日] 川端康成,山东文艺出版社,2023-01,63256字,29.99元,7.7,165 评价
绝叫,[日] 叶真中显,北京联合出版公司,2020-07,202535字,28.99元,8.9,115984 评价
悉达多,[德] 赫尔曼·黑塞,陕西师范大学出版总社,2015-09,72782字,4.71元,8.9,2563 评价
许三观卖血记,余华,,,117819字,34.99元,,
动物农场,[英] 乔治·奥威尔(George Orwell),上海译文出版社,2010-08,59567字,1.99元,9.5,62751 评价
窄门,[法] 安德烈·纪德 ,,,65444字,9.99元,,
局外人,[法] 阿尔贝·加缪,上海译文出版社,2013-08,65191字,9.9元,9.2,68692 评价
闻春声,长青长白,,,167548字,11.99元,,
夜晚的潜水艇,陈春成,,,102513字,24.99元,8.3,77039 评价
教父：三部曲典藏版,[美] 马里奥·普佐,,,813358字,12.0元,,
