电影名称,发布日期,下载链接
2024年剧情《假如，我是这世上最爱你的人》HD国语中字,2024-11-06,magnet:?xt=urn:btih:58fdb302f4450d2b419610fddfc3cd699657b3b4&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%81%87%e5%a6%82%ef%bc%8c%e6%88%91%e6%98%af%e8%bf%99%e4%b8%96%e4%b8%8a%e6%9c%80%e7%88%b1%e4%bd%a0%e7%9a%84%e4%ba%ba.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年纪录片《行走天际：极限爱情故事》BD中英双字,2024-11-05,magnet:?xt=urn:btih:b8d2c39f8c8836c8b55f8000b85fb4c983c10344&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%a1%8c%e8%b5%b0%e5%a4%a9%e9%99%85%ef%bc%9a%e6%9e%81%e9%99%90%e7%88%b1%e6%83%85%e6%95%85%e4%ba%8b.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情《他的三个女儿》BD中英双字,2024-11-04,magnet:?xt=urn:btih:3beaf1075f44025860657e02a65e04cc2e152fc1&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%bb%96%e7%9a%84%e4%b8%89%e4%b8%aa%e5%a5%b3%e5%84%bf.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情《逆鳞/光天化日》HD国语中字,2024-11-02,magnet:?xt=urn:btih:82efa592bb8d237c1f9e5952e731b0d8e74b4c9b&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%80%86%e9%b3%9e.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年喜剧《爆款好人》HD国语中英双字,2024-11-01,magnet:?xt=urn:btih:13f0ad129c42ebd9c41ea0685690308ffe30bf78&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%88%86%e6%ac%be%e5%a5%bd%e4%ba%ba.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年惊悚《小丑2：双重妄想》BD中英双字,2024-10-31,magnet:?xt=urn:btih:792e8cf10120680dd779dc1d2e421051ba8863cf&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%b0%8f%e4%b8%912%ef%bc%9a%e5%8f%8c%e9%87%8d%e5%a6%84%e6%83%b3.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情《野孩子》HD国语中英双字,2024-10-30,magnet:?xt=urn:btih:905b3b5df5b20360d3587c28360d2022b720d785&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%87%8e%e5%ad%a9%e5%ad%90.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2023年动作喜剧《首/首级》BD日语中字,2024-10-30,magnet:?xt=urn:btih:663fa6a2913775481b24d7952e4a358212498a28&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%a6%96%e7%ba%a7.2023.BD.1080P.%e6%97%a5%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年恐怖《断魂小丑3》HD中英双字,2024-10-28,magnet:?xt=urn:btih:84f9589e6b8aaf883400eadf4560f1cf59489734&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%96%ad%e9%ad%82%e5%b0%8f%e4%b8%913.2024.HD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情《祝你幸福！》HD国语中英双字,2024-10-27,magnet:?xt=urn:btih:94e6aee385b5d66bd2d30855115c67a86fb95e4a&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%a5%9d%e4%bd%a0%e5%b9%b8%e7%a6%8f%ef%bc%81.2024.HD.4K.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
